"filename","object_type","object_name","source_url","source_class","capture_date","license","used_on","mapping_confirmed","hero_alt","download_status","notes"
"scene-industrial-overlook-01.webp","theme-scene","Elevated view over an industrial settlement","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/01f6a3d35849da2182853b9362cf25a20dcd7e76/ss_01f6a3d35849da2182853b9362cf25a20dcd7e76.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","maps hub","no","View down a steep concrete structure toward an industrial settlement","planned","Do not label as Dam without official mapping"
"scene-flowered-creature-01.webp","theme-scene","Flower-covered humanoid attacking near cargo containers","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/3102b6c2d6d8604c82da239610dd56275418d1e8/ss_3102b6c2d6d8604c82da239610dd56275418d1e8.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","enemies hub; Flowermen guide","no","Close-range combat with a humanoid covered in bright red flowers","planned","Use official Flowermen article images for object-specific claims"
"scene-ruined-city-dusk-01.webp","theme-scene","Ruined city at dusk","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/b938c2ad2a3e8cd347785a0b00aa540f03ffab51/ss_b938c2ad2a3e8cd347785a0b00aa540f03ffab51.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","home; maps hub","no","Armed operative overlooking a ruined overgrown city at dusk","planned","Theme scene only"
"scene-electric-anomaly-01.webp","theme-scene","Industrial combat beside an electrical anomaly","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/5d05ca06593cbebd3608fbbc7613f284f92d9c8b/ss_5d05ca06593cbebd3608fbbc7613f284f92d9c8b.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","anomalies hub; weapons hub","no","Machine-gun fire near a bright electrical anomaly in an industrial yard","planned","Exact anomaly and weapon names not confirmed"
"scene-red-zone-combat-01.webp","theme-scene","Combat in a red corrupted forest zone","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/f270b86e6cf1e5c24e418f011f4b23fcc8378dad/ss_f270b86e6cf1e5c24e418f011f4b23fcc8378dad.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","home; anomalies hub","no","Aiming at a humanoid creature in a forest crossed by glowing red growths","planned","Theme scene only"
"locations-overview-01.webp","official-news-art","Official locations overview","https://patchnotes.cdn.gaijin.net/active_matter_pc/Images/news/2026/04/2660x1600_post_24042026.jpg","official","2026-09-16","Official promotional/news asset; copyright retained by publisher; no explicit reuse license found","maps hub","yes","Official artwork accompanying the Active Matter locations overview","planned","Mapped to the locations article, not to one specific region"
"update-250-shades-01.webp","official-news-art","250 Shades of Liberty","https://patchnotes.cdn.gaijin.net/active_matter_pc/Images/news/2026/09/2560x1440_250_shades_of_liberty.jpg","official","2026-09-16","Official promotional/news asset; copyright retained by publisher; no explicit reuse license found","Downtown guide; updates hub","yes","Official key art for the 250 Shades of Liberty update","planned","Safe for the update and new-location overview"
"update-gigastructure-park-01.webp","official-news-art","Gigastructure update and Park","https://patchnotes.cdn.gaijin.net/active_matter_pc/Images/news/2026/03/gigastructure/2660x1600_am_major_park_af.jpg","official","2026-09-16","Official promotional/news asset; copyright retained by publisher; no explicit reuse license found","Park guide; Gigastructure guide; updates hub","yes","Official key art for the Gigastructure update that introduced Park","planned","Do not infer every depicted entity without visual verification"
"update-gigastructure-equipment-01.webp","official-news-art","Gigastructure equipment section","https://patchnotes.cdn.gaijin.net/active_matter_pc/Images/news/2026/03/gigastructure/1100x400_pack_2_30032026.jpg","official","2026-09-16","Official promotional/news asset; copyright retained by publisher; no explicit reuse license found","weapons hub; Gigastructure guide","yes","Official equipment image from the Gigastructure update notes","planned","Map to the section, not individual items until inspected"
"update-gigastructure-anomalies-01.webp","official-news-art","Gigastructure anomalies section","https://patchnotes.cdn.gaijin.net/active_matter_pc/Images/news/2026/03/gigastructure/1100x400_pack_1_30032026.jpg","official","2026-09-16","Official promotional/news asset; copyright retained by publisher; no explicit reuse license found","enemies hub; Gigastructure guide","yes","Official anomalies image from the Gigastructure update notes","planned","Map to section only"
"enemy-flowermen-hero-01.webp","enemy","Flowermen","https://patchnotes.cdn.gaijin.net/active_matter_pc/Images/news/2026/02/2600x1600_flwmn_100226.jpg","official","2026-09-16","Official promotional/news asset; copyright retained by publisher; no explicit reuse license found","Flowermen guide","yes","Official Flowermen artwork published with the developer's creature profile","planned","Object mapping confirmed by article context"
"enemy-flowermen-01.webp","enemy","Flowermen","https://patchnotes.cdn.gaijin.net/active_matter_pc/Images/news/2026/02/1100x619_flwmn_2_100226.jpg","official","2026-09-16","Official promotional/news asset; copyright retained by publisher; no explicit reuse license found","Flowermen guide","yes","Official image of Flowermen from the developer creature profile","planned","Object mapping confirmed by article context"
"enemy-flowermen-02.webp","enemy","Flowermen","https://patchnotes.cdn.gaijin.net/active_matter_pc/Images/news/2026/02/1100x619_flwmn_3_100226.jpg","official","2026-09-16","Official promotional/news asset; copyright retained by publisher; no explicit reuse license found","Flowermen guide","yes","Official image of Flowermen from the developer creature profile","planned","Object mapping confirmed by article context"
"enemy-flowermen-03.webp","enemy","Flowermen","https://patchnotes.cdn.gaijin.net/active_matter_pc/Images/news/2026/02/1100x619_flwmn_1_100226.jpg","official","2026-09-16","Official promotional/news asset; copyright retained by publisher; no explicit reuse license found","Flowermen guide","yes","Official image of Flowermen from the developer creature profile","planned","Object mapping confirmed by article context"
"launch-active-matter-01.webp","official-news-art","Full launch","https://patchnotes.cdn.gaijin.net/active_matter_pc/Images/news/2026/09/AM2026_2_2660x1600.jpg","official","2026-09-16","Official promotional/news asset; copyright retained by publisher; no explicit reuse license found","home; updates hub","yes","Official artwork for the September 2026 launch announcement","planned","Current launch asset"
"video-release-trailer-01.webp","video-thumbnail","Active Matter Release Trailer","https://i.ytimg.com/vi/rg33e6j3jc8/hqdefault.jpg","official","2026-09-16","YouTube thumbnail from official publisher channel; copyright retained; no explicit reuse license found","home","yes","Official Active Matter release trailer thumbnail","planned","oEmbed author_name verified as Active Matter; videoId rg33e6j3jc8"
"video-gameplay-trailer-01.webp","video-thumbnail","Official Gameplay Trailer","https://i.ytimg.com/vi/PSC_vBOG_k4/hqdefault.jpg","official","2026-09-16","YouTube thumbnail from official publisher channel; copyright retained; no explicit reuse license found","beginner guide; gameplay overview","yes","Official Active Matter gameplay trailer thumbnail","planned","oEmbed author_name verified as Active Matter; videoId PSC_vBOG_k4"
"video-gigastructure-01.webp","video-thumbnail","Gigastructure update video","https://i.ytimg.com/vi/hDRnYi8prEI/hqdefault.jpg","official","2026-09-16","YouTube thumbnail linked by official update page; copyright retained; no explicit reuse license found","Park guide; Gigastructure guide","yes","Official video thumbnail for the Gigastructure update","planned","Video linked directly from official update article; verify oEmbed again before build"
