page_id,url,first_release,hero_requirement,in_body_requirement,video_requirement,planned_asset_filenames,current_status,gap_or_capture_requirement
P23,/enemies/flowermen/,Yes,"Mapped Flowermen hero","3 mapped Flowermen images","None","enemy-flowermen-hero-01.webp; enemy-flowermen-01.webp; enemy-flowermen-02.webp; enemy-flowermen-03.webp","Covered","Strongest object-level asset coverage"
P24,/enemies/creatures/,Yes,"General creature scene","Official patch/update art plus text table","None","scene-stairwell-creature-01.webp; scene-night-creature-01.webp","Covered with labeling limits","Theme screenshots cannot be assigned entity names"
P25,/enemies/anomalies/,Yes,"Official anomaly theme scene","1 official anomaly-section image","None","scene-urban-anomaly-01.webp; scene-electric-anomaly-01.webp; update-gigastructure-anomalies-01.webp","Covered with labeling limits","Do not name unidentified screenshot anomalies"
P26,/systems/workshop/,Yes,"Text-first or official update art","Current facts timeline/table","None","update-gigastructure-equipment-01.webp","Covered at overview level","Do not depict a current UI panel that has not been captured"
P27,/systems/replicator-refiner/,No,"Current launch UI hero","Replicator and Refiner interface captures","None","","Blocked","Need verified slot rules, recipes and UI"
P28,/systems/harmonization/,Yes,"Official launch/update art","Original HTML progression flow","None","launch-active-matter-01.webp; update-gigastructure-equipment-01.webp","Covered at high level","No exact economy values"
P29,/systems/monolith-tokens/,No,"Current Monolith UI","Earning and reward evidence","None","","Blocked","Need launch-client verification and versioned reward table"
P30,/weapons/,No,"Object-mapped weapon art","Weapon renders and verified data table","None","update-gigastructure-equipment-01.webp","Blocked","Existing image is section-level only; complete current dataset required"
P31,/guides/perks/,No,"Current perk UI","Complete perk dataset","None","","Blocked","Need launch-client list and reproducible evaluation"
P32,/updates/,Yes,"Current launch art","Update-card art","None","launch-active-matter-01.webp; update-gigastructure-park-01.webp; update-250-shades-01.webp","Covered","Add Fire Walk art only if a mapped official source is captured"
P33,/updates/0-4-0-93/,Yes,"Text-first or launch art","Patch summary table","None","launch-active-matter-01.webp","Covered","Version/date must be visible"
P34,/updates/gigastructure/,Yes,"Gigastructure official art","2 official section images","Gigastructure video hDRnYi8prEI","update-gigastructure-park-01.webp; update-gigastructure-equipment-01.webp; update-gigastructure-anomalies-01.webp; video-gigastructure-01.webp","Covered","Use official article section mapping"
P35,/updates/250-shades-of-liberty/,Yes,"250 Shades official art","1 urban theme image","None","update-250-shades-01.webp; scene-american-city-01.webp","Covered","Theme screenshot label remains generic"
P36,/updates/fire-walk/,Yes,"Text-first until mapped art is added","Anomaly theme image","None","scene-red-zone-combat-01.webp","Covered with gap","Capture official Fire Walk art if available before final build"
P37,/updates/release-launch/,Yes,"Official launch art","Steam header plus launch facts","Release trailer optional","launch-active-matter-01.webp; game-active-matter-header-01.webp; video-release-trailer-01.webp","Covered","Current launch page"
P38,/game-info/review/,No,"Independent gameplay capture","Testing evidence and comparison notes","Optional gameplay video","","Blocked","Hands-on review evidence required"
P39,/game-info/player-count/,No,"Data-first","Live chart and methodology","None","","Blocked","Needs timestamped Steam time-series data integration"
P40,/about/,Yes,"Text-first","None required","None","","Covered","No stock author portrait"
P41,/sources/,Yes,"Text-first","Source-class and verification table","None","","Covered","Link official primary sources and explain corrections"
P42,/contact/,Yes,"Text-first","Contact form after configuration","None","","Covered with implementation dependency","Do not invent email/address"
P43,/privacy/,Yes,"Text-first","None required","None","","Covered after implementation sync","Match actual analytics, cookies and form handling"
P44,/terms/,Yes,"Text-first","None required","None","","Covered after ownership sync","Confirm operator/jurisdiction fields before publication"
P45,/disclaimer/,Yes,"Text-first","None required","None","","Covered","State unofficial fan-guide status and trademark ownership"
